"","id","Ideology","A","Gender","Age","M1","M2","M3","M4","M5","M6","Y"
"30",42,0.5,1,0,18,0.277777777777778,0.444444444444444,0.222222222222222,1,0.833333333333333,0.9,0.205555555555556
"31",43,0.5,1,1,18,1,0.611111111111111,0.5,1,0.166666666666667,0.575,0.123333333333333
"32",47,-0.5,0,1,19,1,0.444444444444444,0.277777777777778,1,0.833333333333333,0.175,0.655555555555556
"33",48,0.5,0,1,18,0.333333333333333,0.666666666666667,0.333333333333333,0.555555555555556,0.333333333333333,0.56,0.198888888888889
"34",49,-0.5,0,1,19,0.944444444444444,0.555555555555556,0.277777777777778,0.944444444444444,0.666666666666667,0.61,0.19
"35",50,-0.5,1,1,18,1,0.666666666666667,0.5,1,0.5,1,0.318888888888889
"36",53,-0.5,1,1,19,0.611111111111111,0.333333333333333,0.277777777777778,0.833333333333333,0.666666666666667,0.54,0.47
"37",54,-1.5,0,1,18,0.833333333333333,0.666666666666667,0.444444444444444,0.833333333333333,0.833333333333333,0.69,0.641111111111111
"38",55,-0.5,1,1,20,0.277777777777778,0.333333333333333,0.222222222222222,0.722222222222222,0.833333333333333,0.575,0.711111111111111
"39",56,-0.5,0,0,19,0.611111111111111,0.611111111111111,0.5,0.777777777777778,0.333333333333333,0.69,0.205555555555556
"40",59,-0.5,1,1,20,0.611111111111111,0.444444444444444,0.333333333333333,0.555555555555556,0.166666666666667,0.405,0.577777777777778
"41",60,-0.5,1,1,21,0.888888888888889,0.5,0.388888888888889,0.888888888888889,0.666666666666667,0.505,0.272222222222222
"42",62,-1.5,1,1,20,0.777777777777778,0.444444444444444,0.277777777777778,0.888888888888889,0.833333333333333,0.925,0.09
"43",64,-0.5,0,0,22,0.833333333333333,0.5,0.333333333333333,0.666666666666667,1,0.11,0.821111111111111
"44",66,-0.5,0,0,20,0.944444444444444,0.777777777777778,0.944444444444444,0.722222222222222,0.666666666666667,0.39,0.811111111111111
"45",67,-0.5,0,1,20,0.777777777777778,0.444444444444444,0.388888888888889,0.666666666666667,1,0,0.924444444444444
"46",68,-0.5,1,1,31,0.388888888888889,0.388888888888889,0.555555555555556,0.5,0.666666666666667,0.5,0.573333333333333
"47",69,0.5,1,0,32,0.5,0.333333333333333,0.166666666666667,0.777777777777778,0.666666666666667,0.715,0.485555555555556
"48",71,-0.5,0,1,18,0.888888888888889,0.5,0.277777777777778,0.666666666666667,0.166666666666667,0.78,0.17
"49",73,-0.5,1,1,19,0.666666666666667,0.388888888888889,0.388888888888889,0.666666666666667,0.166666666666667,0.84,0.168888888888889
"50",74,-1.5,0,1,18,0.777777777777778,0.5,0.388888888888889,0.888888888888889,0.833333333333333,0.35,0.527777777777778
"51",75,-0.5,0,1,21,0.833333333333333,0.5,0.444444444444444,0.833333333333333,0.666666666666667,0.5,0.361111111111111
"52",77,-0.5,1,1,18,1,0.5,0.166666666666667,1,0.333333333333333,0.705,0.388888888888889
"53",78,-0.5,0,1,19,0.388888888888889,0.5,0.5,0.5,0.5,0.45,0.444444444444444
"54",80,-0.5,0,0,21,1,1,0.722222222222222,0.777777777777778,0.666666666666667,0.55,0.316666666666667
"55",81,-0.5,0,1,20,0.777777777777778,0.666666666666667,0.555555555555556,0.722222222222222,0.833333333333333,0.26,0.801111111111111
"56",82,-0.5,1,0,22,1,0.555555555555556,0.333333333333333,0.666666666666667,0.333333333333333,0.925,0.138888888888889
"57",83,-0.5,1,1,18,0.277777777777778,0.444444444444444,0.611111111111111,0.833333333333333,0.833333333333333,0.345,0.808888888888889
"58",85,-0.5,1,1,21,0.555555555555556,0.611111111111111,0.111111111111111,1,0.833333333333333,0.305,0.535555555555556
"59",87,-1.5,1,1,20,0.944444444444444,0.222222222222222,0.166666666666667,0.944444444444444,1,0.09,0.933333333333333
"60",89,-0.5,0,1,23,1,0.722222222222222,0.333333333333333,0.888888888888889,0.833333333333333,0.485,0.565555555555556
